Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.25, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1f59436f-b3c9-4c8a-a419-77a8ee9939b8
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3596      0.0900     0.0932     14.0225   0.4327
00100     2.2082      0.2600     0.1841     52.4796   0.2722
00200     1.5858      0.5100     0.2268     51.8085   0.1601
00300     1.2952      0.5800     0.2564     51.6003   0.0907
00400     1.1752      0.6200     0.3737     54.0837   0.0480
00500     1.2171      0.6000     0.3608     51.3968   0.0202
00600     1.1566      0.6200     0.3809     51.5113   0.0002
00700     1.0832      0.6700     0.4206     55.0508   0.0000
00800     0.8763      0.7600     0.4557     53.0860   0.0000
00900     1.1062      0.6400     0.4240     52.1062   0.0000
01000     0.8145      0.7600     0.4852     53.9458   0.0000
01100     1.0568      0.6800     0.4795     55.2406   0.0000
01200     0.7532      0.8100     0.4880     52.7283   0.0000
01300     0.8931      0.6900     0.5131     55.0881   0.0000
01400     0.7933      0.7400     0.5272     54.0088   0.0000
01500     0.9377      0.7000     0.5539     54.1362   0.0000
01600     0.8302      0.7400     0.5028     55.4234   0.0000
01700     0.8492      0.7100     0.5248     52.7353   0.0000
01800     0.9794      0.7000     0.5282     52.1488   0.0000
01900     1.0058      0.7200     0.5635     54.3395   0.0000
02000     0.7626      0.7400     0.5571     52.8688   0.0000
02100     0.7813      0.7500     0.5615     54.8190   0.0000
02200     0.8311      0.7800     0.5326     51.6395   0.0000
02300     0.8937      0.7300     0.5510     54.8270   0.0000
02400     0.8940      0.7200     0.5741     52.0209   0.0000
02500     0.6750      0.8000     0.5077     51.9226   0.0000
02600     0.7287      0.7800     0.5426     52.1049   0.0000
02700     0.8355      0.7000     0.5595     55.5245   0.0000
02800     0.7285      0.7800     0.5810     53.0451   0.0000
02900     0.8202      0.7700     0.5451     52.2883   0.0000
03000     0.7751      0.7800     0.5900     56.2007   0.0000
03100     0.7958      0.7500     0.5771     53.5031   0.0000
03200     0.5906      0.8000     0.5703     51.8487   0.0000
03300     0.9448      0.6700     0.5490     53.1750   0.0000
03400     0.7344      0.7500     0.5956     55.4314   0.0000
03500     0.8087      0.6900     0.5542     52.1785   0.0000
03600     0.7234      0.7900     0.5709     53.3750   0.0000
03700     0.6510      0.7900     0.5575     51.7476   0.0000
03800     0.6003      0.8000     0.6288     55.1230   0.0000
03900     0.8510      0.7900     0.6199     52.6690   0.0000
04000     0.7003      0.7900     0.6167     52.3969   0.0000
04100     0.7600      0.7500     0.6275     51.3901   0.0000
04200     0.7420      0.7700     0.6009     53.7194   0.0000
04300     0.6560      0.8000     0.6041     53.1055   0.0000
04400     0.7644      0.7600     0.5918     52.2274   0.0000
04500     0.7265      0.7200     0.6266     53.0984   0.0000
04600     0.6015      0.8300     0.6210     51.5480   0.0000
04700     0.7384      0.7700     0.6117     52.0622   0.0000
04800     0.5955      0.8100     0.5866     51.7104   0.0000
04900     0.7430      0.7800     0.6073     54.7289   0.0000
