Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.1, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
585bbfc3-f2dd-4a8b-832a-e3584f90571a
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0681     15.7882   0.4322
00100     2.0219      0.3000     0.3419     65.2070   0.2684
00200     1.7659      0.4700     0.4687     64.9181   0.1575
00300     1.3122      0.5700     0.5440     65.8424   0.0923
00400     1.3246      0.5700     0.5871     66.7258   0.0510
00500     0.9232      0.6900     0.6565     66.0436   0.0228
00600     0.9690      0.7200     0.6857     66.1034   0.0021
00700     0.9786      0.7100     0.6952     66.8683   0.0000
00800     0.8860      0.7300     0.7162     65.8308   0.0000
00900     0.7883      0.7700     0.7144     65.5136   0.0000
01000     0.9545      0.7100     0.7277     65.5635   0.0000
01100     0.8838      0.6600     0.7434     65.4357   0.0000
01200     0.9678      0.6700     0.7358     65.2945   0.0000
01300     0.8210      0.7500     0.7509     65.7959   0.0000
01400     0.7779      0.7400     0.7405     66.1566   0.0000
01500     0.9068      0.7000     0.7386     65.8148   0.0000
01600     0.6894      0.7600     0.7699     65.3566   0.0000
01700     1.1811      0.6100     0.7447     65.9473   0.0000
01800     0.8005      0.7000     0.7707     65.4356   0.0000
01900     1.1067      0.6200     0.7739     66.4245   0.0000
02000     0.8082      0.7200     0.7634     66.2663   0.0000
02100     0.9987      0.7000     0.7917     66.8296   0.0000
02200     1.1555      0.6300     0.7578     65.8808   0.0000
02300     0.7406      0.7800     0.7824     65.7888   0.0000
02400     0.7738      0.7300     0.7855     66.5427   0.0000
02500     0.8751      0.7000     0.7825     66.2461   0.0000
02600     0.8235      0.7300     0.7808     67.0374   0.0000
02700     0.7619      0.7100     0.7999     66.4948   0.0000
02800     0.8112      0.7100     0.7803     65.9440   0.0000
02900     0.9509      0.6900     0.7796     66.0342   0.0000
03000     0.7429      0.7700     0.7657     66.4023   0.0000
03100     0.9100      0.7200     0.7982     67.3184   0.0000
